"","El","Wt.Prct","Sx_bar","N"
"1","C",6.03888888888889,0.90828661109874,9
"2","Co",5.77666666666667,0.111608985554774,12
"3","Ni",35.195,0.625146649461815,12
"4","Pt",16.3016666666667,0.396356193749047,12
"5","Al",10.7058333333333,0.276294359754815,12
"6","Cr",6.53083333333333,0.097315936074938,12
"7","Ta",11.3866666666667,1.02424276044463,12
"8","W",7.66,0.283107753337841,9
