"","El","Wt.Prct","Sx_bar","N"
"1","Ni",66.369,1.0397729762334,20
"2","Al",7.518,0.271408218469212,20
"3","Co",7.963,0.19331063085097,20
"4","Cr",7.4685,0.132937015161316,20
