"","El","Wt.Prct","Sx_bar","N"
"1","C",17.29875,1.20589983814696,8
"2","O",26.5325,0.601782323008672,8
"3","Zr",52.49875,0.851205945996619,8
"4","Y",3.93166666666667,0.156916467516248,6
